1,91,55,-1,255,255,61696,61440,1,91,55
2,14,21,2,255,255,32718,4096,0,255,255
3,9,21,-1,255,255,32862,32862,0,0,0
4,50,54,1,255,255,32745,32745,0,0,0
5,55,51,-30,255,255,32862,61440,0,0,0
6,54,102,1,255,255,32745,32745,0,0,0
7,105,102,-1,255,255,32747,32747,0,0,0
6,54,6,1,255,255,32745,32745,0,0,0
7,51,99,1,255,255,32747,32747,0,0,0
8,96,99,-1,255,255,32745,32745,0,255,255
9,57,48,1,255,255,32747,32860,0,255,255
8,48,57,1,255,255,32745,32745,0,255,255
7,51,3,1,255,255,32747,32747,0,0,0
8,0,3,-1,255,255,32745,32745,0,255,255
9,57,48,1,255,255,32747,32860,0,255,255
8,48,57,1,255,255,32745,32745,0,255,255
5,57,56,-30,255,255,32747,32747,0,0,0
5,105,104,-30,255,255,32747,32747,0,0,0
5,105,103,-30,255,255,32747,32747,0,0,0
5,21,20,-30,255,255,32747,32747,0,0,0
5,21,9,-30,255,255,32747,32747,0,0,0
5,55,56,-30,255,255,32747,32747,0,0,0
5,55,43,-30,255,255,32747,32747,0,0,0
5,55,31,-30,255,255,32747,32747,0,0,0
5,55,67,-30,255,255,32747,32747,0,0,0
5,55,79,-30,255,255,32747,32747,0,0,0
5,55,91,-30,255,255,32747,32747,0,0,0
5,55,103,-30,255,255,32747,32747,0,0,0
5,19,18,-30,255,255,32747,32747,0,0,0
5,19,17,-30,255,255,32747,32747,0,0,0
5,19,16,-30,255,255,32747,32747,0,0,0
5,19,15,-30,255,255,32747,32747,0,0,0
5,19,14,-30,255,255,32747,32747,0,0,0
5,19,13,-30,255,255,32747,32747,0,0,0
5,19,20,-30,255,255,32747,32747,0,0,0
5,19,7,-30,255,255,32747,32747,0,0,0
5,19,31,-30,255,255,32747,32747,0,0,0
5,19,43,-30,255,255,32747,32747,0,0,0
5,93,79,-30,255,255,32747,32747,0,0,0
5,93,103,-30,255,255,32747,32747,0,0,0
5,69,56,-30,255,255,32747,32747,0,0,0
6,54,56,-1,255,255,32745,32741,0,0,0
7,57,56,-1,255,255,32747,32775,0,0,0
6,54,102,1,255,255,32745,32741,0,0,0
6,54,6,1,255,255,32745,32743,0,0,0
3,9,21,2,255,255,32745,32745,0,0,0
3,55,51,2,255,255,32745,32745,0,0,0
4,21,45,-30,255,255,32718,4096,0,0,0
4,50,54,-30,255,255,32718,4096,0,0,0
5,9,21,1,255,255,32745,32862,0,0,0
5,51,99,1,255,255,32745,32745,0,0,0
5,51,3,1,255,255,32745,32745,0,0,0
2,50,54,2,255,255,32745,32745,0,255,255
